districtid,timeid,active-cases,stateid
TG_Adilabad,1,0,TG
MP_Agar Malwa,1,0,MP
UP_Agra,1,0,UP
GJ_Ahmedabad,1,0,GJ
MH_Ahmednagar,1,0,MH
MZ_Aizawl,1,0,MZ
RJ_Ajmer,1,0,RJ
MH_Akola,1,0,MH
KL_Alappuzha,1,0,KL
UP_Aligarh,1,0,UP
WB_Alipurduar,1,0,WB
MP_Alirajpur,1,0,MP
UT_Almora,1,0,UT
RJ_Alwar,1,0,RJ
HR_Ambala,1,0,HR
UP_Ambedkar Nagar,1,0,UP
UP_Amethi,1,0,UP
MH_Amravati,1,0,MH
GJ_Amreli,1,0,GJ
PB_Amritsar,1,0,PB
UP_Amroha,1,0,UP
GJ_Anand,1,0,GJ
AP_Anantapur,1,0,AP
JK_Anantnag,1,0,JK
OR_Angul,1,0,OR
AR_Anjaw,1,0,AR
MP_Anuppur,1,0,MP
BR_Araria,1,0,BR
GJ_Aravalli,1,0,GJ
TN_Ariyalur,1,0,TN
BR_Arwal,1,0,BR
MP_Ashoknagar,1,0,MP
UP_Auraiya,1,0,UP
UP_Ayodhya,1,0,UP
UP_Azamgarh,1,0,UP
KA_Bagalkote,1,0,KA
UT_Bageshwar,1,0,UT
UP_Baghpat,1,0,UP
UP_Bahraich,1,0,UP
AS_Baksa,1,0,AS
MP_Balaghat,1,0,MP
OR_Balangir,1,0,OR
OR_Balasore,1,0,OR
KA_Ballari,1,0,KA
UP_Ballia,1,0,UP
CT_Balod,1,0,CT
CT_Baloda Bazar,1,0,CT
CT_Bametara,1,0,CT
GJ_Banaskantha,1,0,GJ
UP_Banda,1,0,UP
JK_Bandipora,1,0,JK
BR_Banka,1,0,BR
WB_Bankura,1,0,WB
RJ_Banswara,1,0,RJ
UP_Barabanki,1,0,UP
JK_Baramulla,1,0,JK
RJ_Baran,1,0,RJ
UP_Bareilly,1,0,UP
OR_Bargarh,1,0,OR
RJ_Barmer,1,0,RJ
PB_Barnala,1,0,PB
AS_Barpeta,1,0,AS
MP_Barwani,1,0,MP
CT_Bastar,1,0,CT
UP_Basti,1,0,UP
PB_Bathinda,1,0,PB
MH_Beed,1,0,MH
BR_Begusarai,1,0,BR
KA_Belagavi,1,0,KA
KA_Bengaluru Rural,1,0,KA
KA_Bengaluru Urban,1,0,KA
MP_Betul,1,0,MP
UP_Bhadohi,1,0,UP
TG_Bhadradri Kothagudem,1,0,TG
OR_Bhadrak,1,0,OR
BR_Bhagalpur,1,0,BR
MH_Bhandara,1,0,MH
RJ_Bharatpur,1,0,RJ
GJ_Bharuch,1,0,GJ
GJ_Bhavnagar,1,0,GJ
RJ_Bhilwara,1,0,RJ
MP_Bhind,1,0,MP
HR_Bhiwani,1,0,HR
BR_Bhojpur,1,0,BR
MP_Bhopal,1,0,MP
CT_Bijapur,1,0,CT
UP_Bijnor,1,0,UP
RJ_Bikaner,1,0,RJ
WB_Birbhum,1,0,WB
MN_Bishnupur,1,0,MN
AS_Biswanath,1,0,AS
JH_Bokaro,1,0,JH
AS_Bongaigaon,1,0,AS
GJ_Botad,1,0,GJ
OR_Boudh,1,0,OR
UP_Budaun,1,0,UP
JK_Budgam,1,0,JK
UP_Bulandshahr,1,0,UP
MH_Buldhana,1,0,MH
RJ_Bundi,1,0,RJ
MP_Burhanpur,1,0,MP
BR_Buxar,1,0,BR
AS_Cachar,1,0,AS
DL_Central Delhi,1,0,DL
KA_Chamarajanagara,1,0,KA
HP_Chamba,1,0,HP
UT_Chamoli,1,0,UT
UT_Champawat,1,0,UT
MZ_Champhai,1,0,MZ
UP_Chandauli,1,0,UP
MN_Chandel,1,0,MN
CH_Chandigarh,1,0,CH
MH_Chandrapur,1,0,MH
AR_Changlang,1,0,AR
AS_Charaideo,1,0,AS
HR_Charkhi Dadri,1,0,HR
JH_Chatra,1,0,JH
TN_Chennai,1,0,TN
MP_Chhatarpur,1,0,MP
MP_Chhindwara,1,0,MP
GJ_Chhota Udaipur,1,0,GJ
KA_Chikkaballapura,1,0,KA
KA_Chikkamagaluru,1,0,KA
AS_Chirang,1,0,AS
KA_Chitradurga,1,0,KA
UP_Chitrakoot,1,0,UP
AP_Chittoor,1,0,AP
RJ_Chittorgarh,1,0,RJ
MN_Churachandpur,1,0,MN
RJ_Churu,1,0,RJ
TN_Coimbatore,1,0,TN
WB_Cooch Behar,1,0,WB
TN_Cuddalore,1,0,TN
OR_Cuttack,1,0,OR
DN_Dadra and Nagar Haveli,1,0,DN
GJ_Dahod,1,0,GJ
WB_Dakshin Dinajpur,1,0,WB
KA_Dakshina Kannada,1,0,KA
DN_Daman,1,0,DN
MP_Damoh,1,0,MP
GJ_Dang,1,0,GJ
BR_Darbhanga,1,0,BR
WB_Darjeeling,1,0,WB
AS_Darrang,1,0,AS
MP_Datia,1,0,MP
RJ_Dausa,1,0,RJ
KA_Davanagere,1,0,KA
UT_Dehradun,1,0,UT
OR_Deogarh,1,0,OR
JH_Deoghar,1,0,JH
UP_Deoria,1,0,UP
GJ_Devbhumi Dwarka,1,0,GJ
MP_Dewas,1,0,MP
TR_Dhalai,1,0,TR
CT_Dhamtari,1,0,CT
JH_Dhanbad,1,0,JH
MP_Dhar,1,0,MP
TN_Dharmapuri,1,0,TN
KA_Dharwad,1,0,KA
AS_Dhemaji,1,0,AS
OR_Dhenkanal,1,0,OR
RJ_Dholpur,1,0,RJ
AS_Dhubri,1,0,AS
MH_Dhule,1,0,MH
AS_Dibrugarh,1,0,AS
AS_Dima Hasao,1,0,AS
NL_Dimapur,1,0,NL
TN_Dindigul,1,0,TN
MP_Dindori,1,0,MP
DN_Diu,1,0,DN
JK_Doda,1,0,JK
JH_Dumka,1,0,JH
RJ_Dungarpur,1,0,RJ
CT_Durg,1,0,CT
BR_East Champaran,1,0,BR
DL_East Delhi,1,0,DL
ML_East Garo Hills,1,0,ML
AP_East Godavari,1,0,AP
ML_East Jaintia Hills,1,0,ML
AR_East Kameng,1,0,AR
ML_East Khasi Hills,1,0,ML
AR_East Siang,1,0,AR
SK_East Sikkim,1,0,SK
JH_East Singhbhum,1,0,JH
KL_Ernakulam,1,0,KL
TN_Erode,1,0,TN
UP_Etah,1,0,UP
UP_Etawah,1,0,UP
HR_Faridabad,1,0,HR
PB_Faridkot,1,0,PB
UP_Farrukhabad,1,0,UP
HR_Fatehabad,1,0,HR
PB_Fatehgarh Sahib,1,0,PB
UP_Fatehpur,1,0,UP
PB_Fazilka,1,0,PB
PB_Ferozepur,1,0,PB
UP_Firozabad,1,0,UP
KA_Gadag,1,0,KA
MH_Gadchiroli,1,0,MH
OR_Gajapati,1,0,OR
JK_Ganderbal,1,0,JK
GJ_Gandhinagar,1,0,GJ
RJ_Ganganagar,1,0,RJ
OR_Ganjam,1,0,OR
JH_Garhwa,1,0,JH
CT_Gariaband,1,0,CT
UP_Gautam Buddha Nagar,1,0,UP
BR_Gaya,1,0,BR
UP_Ghaziabad,1,0,UP
UP_Ghazipur,1,0,UP
GJ_Gir Somnath,1,0,GJ
JH_Giridih,1,0,JH
AS_Goalpara,1,0,AS
JH_Godda,1,0,JH
AS_Golaghat,1,0,AS
TR_Gomati,1,0,TR
UP_Gonda,1,0,UP
MH_Gondia,1,0,MH
BR_Gopalganj,1,0,BR
UP_Gorakhpur,1,0,UP
JH_Gumla,1,0,JH
MP_Guna,1,0,MP
AP_Guntur,1,0,AP
PB_Gurdaspur,1,0,PB
HR_Gurugram,1,0,HR
MP_Gwalior,1,0,MP
AS_Hailakandi,1,0,AS
RJ_Hanumangarh,1,0,RJ
UP_Hapur,1,0,UP
MP_Harda,1,0,MP
UP_Hardoi,1,0,UP
UT_Haridwar,1,0,UT
KA_Hassan,1,0,KA
UP_Hathras,1,0,UP
KA_Haveri,1,0,KA
JH_Hazaribagh,1,0,JH
MH_Hingoli,1,0,MH
HR_Hisar,1,0,HR
AS_Hojai,1,0,AS
WB_Hooghly,1,0,WB
MP_Hoshangabad,1,0,MP
PB_Hoshiarpur,1,0,PB
WB_Howrah,1,0,WB
TG_Hyderabad,1,0,TG
KL_Idukki,1,0,KL
MN_Imphal East,1,0,MN
MN_Imphal West,1,0,MN
MP_Indore,1,0,MP
MP_Jabalpur,1,0,MP
TG_Jagtial,1,0,TG
RJ_Jaipur,1,0,RJ
RJ_Jaisalmer,1,0,RJ
OR_Jajpur,1,0,OR
PB_Jalandhar,1,0,PB
UP_Jalaun,1,0,UP
MH_Jalgaon,1,0,MH
MH_Jalna,1,0,MH
RJ_Jalore,1,0,RJ
WB_Jalpaiguri,1,0,WB
JK_Jammu,1,0,JK
GJ_Jamnagar,1,0,GJ
JH_Jamtara,1,0,JH
BR_Jamui,1,0,BR
TG_Jangaon,1,0,TG
CT_Jashpur,1,0,CT
UP_Jaunpur,1,0,UP
TG_Jayashankar Bhupalapally,1,0,TG
BR_Jehanabad,1,0,BR
MP_Jhabua,1,0,MP
HR_Jhajjar,1,0,HR
RJ_Jhalawar,1,0,RJ
UP_Jhansi,1,0,UP
WB_Jhargram,1,0,WB
OR_Jharsuguda,1,0,OR
RJ_Jhunjhunu,1,0,RJ
HR_Jind,1,0,HR
MN_Jiribam,1,0,MN
RJ_Jodhpur,1,0,RJ
TG_Jogulamba Gadwal,1,0,TG
AS_Jorhat,1,0,AS
GJ_Junagadh,1,0,GJ
CT_Kabeerdham,1,0,CT
BR_Kaimur,1,0,BR
HR_Kaithal,1,0,HR
MN_Kakching,1,0,MN
KA_Kalaburagi,1,0,KA
OR_Kalahandi,1,0,OR
WB_Kalimpong,1,0,WB
TN_Kallakurichi,1,0,TN
TG_Kamareddy,1,0,TG
MN_Kamjong,1,0,MN
AR_Kamle,1,0,AR
AS_Kamrup,1,0,AS
AS_Kamrup Metropolitan,1,0,AS
TN_Kancheepuram,1,0,TN
OR_Kandhamal,1,0,OR
MN_Kangpokpi,1,0,MN
HP_Kangra,1,0,HP
UP_Kannauj,1,0,UP
KL_Kannur,1,0,KL
UP_Kanpur Dehat,1,0,UP
UP_Kanpur Nagar,1,0,UP
TN_Kanyakumari,1,0,TN
PB_Kapurthala,1,0,PB
PY_Karaikal,1,0,PY
RJ_Karauli,1,0,RJ
AS_Karbi Anglong,1,0,AS
LA_Kargil,1,0,LA
AS_Karimganj,1,0,AS
TG_Karimnagar,1,0,TG
HR_Karnal,1,0,HR
TN_Karur,1,0,TN
KL_Kasaragod,1,0,KL
UP_Kasganj,1,0,UP
JK_Kathua,1,0,JK
BR_Katihar,1,0,BR
MP_Katni,1,0,MP
UP_Kaushambi,1,0,UP
OR_Kendrapara,1,0,OR
OR_Kendujhar,1,0,OR
BR_Khagaria,1,0,BR
TG_Khammam,1,0,TG
MP_Khandwa,1,0,MP
MP_Khargone,1,0,MP
GJ_Kheda,1,0,GJ
OR_Khordha,1,0,OR
TR_Khowai,1,0,TR
JH_Khunti,1,0,JH
HP_Kinnaur,1,0,HP
NL_Kiphire,1,0,NL
BR_Kishanganj,1,0,BR
JK_Kishtwar,1,0,JK
KA_Kodagu,1,0,KA
JH_Koderma,1,0,JH
NL_Kohima,1,0,NL
AS_Kokrajhar,1,0,AS
KA_Kolar,1,0,KA
MZ_Kolasib,1,0,MZ
MH_Kolhapur,1,0,MH
WB_Kolkata,1,0,WB
KL_Kollam,1,0,KL
TG_Komaram Bheem,1,0,TG
CT_Kondagaon,1,0,CT
KA_Koppal,1,0,KA
OR_Koraput,1,0,OR
CT_Korba,1,0,CT
CT_Koriya,1,0,CT
RJ_Kota,1,0,RJ
KL_Kottayam,1,0,KL
KL_Kozhikode,1,0,KL
AR_Kra Daadi,1,0,AR
AP_Krishna,1,0,AP
TN_Krishnagiri,1,0,TN
JK_Kulgam,1,0,JK
HP_Kullu,1,0,HP
JK_Kupwara,1,0,JK
AP_Kurnool,1,0,AP
HR_Kurukshetra,1,0,HR
AR_Kurung Kumey,1,0,AR
UP_Kushinagar,1,0,UP
GJ_Kutch,1,0,GJ
HP_Lahaul and Spiti,1,0,HP
AS_Lakhimpur,1,0,AS
UP_Lakhimpur Kheri,1,0,UP
BR_Lakhisarai,1,0,BR
UP_Lalitpur,1,0,UP
JH_Latehar,1,0,JH
MH_Latur,1,0,MH
MZ_Lawngtlai,1,0,MZ
LA_Leh,1,0,LA
AR_Lepa Rada,1,0,AR
JH_Lohardaga,1,0,JH
AR_Lohit,1,0,AR
AR_Longding,1,0,AR
NL_Longleng,1,0,NL
AR_Lower Dibang Valley,1,0,AR
AR_Lower Siang,1,0,AR
AR_Lower Subansiri,1,0,AR
UP_Lucknow,1,0,UP
PB_Ludhiana,1,0,PB
MZ_Lunglei,1,0,MZ
BR_Madhepura,1,0,BR
BR_Madhubani,1,0,BR
TN_Madurai,1,0,TN
TG_Mahabubabad,1,0,TG
TG_Mahabubnagar,1,0,TG
UP_Maharajganj,1,0,UP
CT_Mahasamund,1,0,CT
PY_Mahe,1,0,PY
HR_Mahendragarh,1,0,HR
GJ_Mahisagar,1,0,GJ
UP_Mahoba,1,0,UP
UP_Mainpuri,1,0,UP
AS_Majuli,1,0,AS
KL_Malappuram,1,0,KL
WB_Malda,1,0,WB
OR_Malkangiri,1,0,OR
MZ_Mamit,1,0,MZ
TG_Mancherial,1,0,TG
HP_Mandi,1,0,HP
MP_Mandla,1,0,MP
MP_Mandsaur,1,0,MP
KA_Mandya,1,0,KA
PB_Mansa,1,0,PB
UP_Mathura,1,0,UP
UP_Mau,1,0,UP
OR_Mayurbhanj,1,0,OR
TG_Medak,1,0,TG
UP_Meerut,1,0,UP
GJ_Mehsana,1,0,GJ
UP_Mirzapur,1,0,UP
PB_Moga,1,0,PB
NL_Mokokchung,1,0,NL
NL_Mon,1,0,NL
UP_Moradabad,1,0,UP
GJ_Morbi,1,0,GJ
MP_Morena,1,0,MP
AS_Morigaon,1,0,AS
TG_Mulugu,1,0,TG
MH_Mumbai,1,0,MH
CT_Mungeli,1,0,CT
BR_Munger,1,0,BR
WB_Murshidabad,1,0,WB
UP_Muzaffarnagar,1,0,UP
BR_Muzaffarpur,1,0,BR
KA_Mysuru,1,0,KA
OR_Nabarangapur,1,0,OR
WB_Nadia,1,0,WB
AS_Nagaon,1,0,AS
TN_Nagapattinam,1,0,TN
TG_Nagarkurnool,1,0,TG
RJ_Nagaur,1,0,RJ
MH_Nagpur,1,0,MH
UT_Nainital,1,0,UT
BR_Nalanda,1,0,BR
AS_Nalbari,1,0,AS
TG_Nalgonda,1,0,TG
TN_Namakkal,1,0,TN
AR_Namsai,1,0,AR
MH_Nanded,1,0,MH
MH_Nandurbar,1,0,MH
TG_Narayanpet,1,0,TG
CT_Narayanpur,1,0,CT
GJ_Narmada,1,0,GJ
MP_Narsinghpur,1,0,MP
MH_Nashik,1,0,MH
GJ_Navsari,1,0,GJ
BR_Nawada,1,0,BR
OR_Nayagarh,1,0,OR
MP_Neemuch,1,0,MP
DL_New Delhi,1,0,DL
TN_Nilgiris,1,0,TN
TG_Nirmal,1,0,TG
TG_Nizamabad,1,0,TG
MN_Noney,1,0,MN
WB_North 24 Parganas,1,0,WB
DL_North Delhi,1,0,DL
DL_North East Delhi,1,0,DL
ML_North Garo Hills,1,0,ML
GA_North Goa,1,0,GA
SK_North Sikkim,1,0,SK
TR_North Tripura,1,0,TR
DL_North West Delhi,1,0,DL
OR_Nuapada,1,0,OR
HR_Nuh,1,0,HR
MH_Osmanabad,1,0,MH
AR_Pakke Kessang,1,0,AR
JH_Pakur,1,0,JH
KL_Palakkad,1,0,KL
JH_Palamu,1,0,JH
MH_Palghar,1,0,MH
RJ_Pali,1,0,RJ
HR_Palwal,1,0,HR
HR_Panchkula,1,0,HR
GJ_Panchmahal,1,0,GJ
HR_Panipat,1,0,HR
MP_Panna,1,0,MP
AR_Papum Pare,1,0,AR
MH_Parbhani,1,0,MH
WB_Paschim Bardhaman,1,0,WB
WB_Paschim Medinipur,1,0,WB
GJ_Patan,1,0,GJ
PB_Pathankot,1,0,PB
PB_Patiala,1,0,PB
BR_Patna,1,0,BR
UT_Pauri Garhwal,1,0,UT
TG_Peddapalli,1,0,TG
TN_Perambalur,1,0,TN
NL_Peren,1,0,NL
NL_Phek,1,0,NL
MN_Pherzawl,1,0,MN
UP_Pilibhit,1,0,UP
UT_Pithoragarh,1,0,UT
GJ_Porbandar,1,0,GJ
AP_Prakasam,1,0,AP
UP_Prayagraj,1,0,UP
PY_Puducherry,1,0,PY
TN_Pudukkottai,1,0,TN
JK_Pulwama,1,0,JK
JK_Punch,1,0,JK
MH_Pune,1,0,MH
WB_Purba Bardhaman,1,0,WB
WB_Purba Medinipur,1,0,WB
OR_Puri,1,0,OR
BR_Purnia,1,0,BR
WB_Purulia,1,0,WB
UP_Rae Bareli,1,0,UP
KA_Raichur,1,0,KA
MH_Raigad,1,0,MH
CT_Raigarh,1,0,CT
CT_Raipur,1,0,CT
MP_Raisen,1,0,MP
TG_Rajanna Sircilla,1,0,TG
MP_Rajgarh,1,0,MP
GJ_Rajkot,1,0,GJ
CT_Rajnandgaon,1,0,CT
JK_Rajouri,1,0,JK
RJ_Rajsamand,1,0,RJ
KA_Ramanagara,1,0,KA
TN_Ramanathapuram,1,0,TN
JK_Ramban,1,0,JK
JH_Ramgarh,1,0,JH
UP_Rampur,1,0,UP
JH_Ranchi,1,0,JH
TG_Ranga Reddy,1,0,TG
MP_Ratlam,1,0,MP
MH_Ratnagiri,1,0,MH
OR_Rayagada,1,0,OR
JK_Reasi,1,0,JK
MP_Rewa,1,0,MP
HR_Rewari,1,0,HR
ML_Ribhoi,1,0,ML
HR_Rohtak,1,0,HR
BR_Rohtas,1,0,BR
UT_Rudraprayag,1,0,UT
PB_Rupnagar,1,0,PB
PB_S.A.S. Nagar,1,0,PB
AP_S.P.S. Nellore,1,0,AP
GJ_Sabarkantha,1,0,GJ
MP_Sagar,1,0,MP
UP_Saharanpur,1,0,UP
BR_Saharsa,1,0,BR
JH_Sahibganj,1,0,JH
MZ_Saiha,1,0,MZ
TN_Salem,1,0,TN
BR_Samastipur,1,0,BR
JK_Samba,1,0,JK
OR_Sambalpur,1,0,OR
UP_Sambhal,1,0,UP
TG_Sangareddy,1,0,TG
MH_Sangli,1,0,MH
PB_Sangrur,1,0,PB
JH_Saraikela-Kharsawan,1,0,JH
BR_Saran,1,0,BR
MH_Satara,1,0,MH
MP_Satna,1,0,MP
RJ_Sawai Madhopur,1,0,RJ
MP_Sehore,1,0,MP
MN_Senapati,1,0,MN
MP_Seoni,1,0,MP
MZ_Serchhip,1,0,MZ
DL_Shahdara,1,0,DL
MP_Shahdol,1,0,MP
PB_Shahid Bhagat Singh Nagar,1,0,PB
UP_Shahjahanpur,1,0,UP
MP_Shajapur,1,0,MP
UP_Shamli,1,0,UP
BR_Sheikhpura,1,0,BR
BR_Sheohar,1,0,BR
MP_Sheopur,1,0,MP
AR_Shi Yomi,1,0,AR
HP_Shimla,1,0,HP
KA_Shivamogga,1,0,KA
MP_Shivpuri,1,0,MP
JK_Shopiyan,1,0,JK
UP_Shrawasti,1,0,UP
AR_Siang,1,0,AR
UP_Siddharthnagar,1,0,UP
TG_Siddipet,1,0,TG
MP_Sidhi,1,0,MP
RJ_Sikar,1,0,RJ
JH_Simdega,1,0,JH
MH_Sindhudurg,1,0,MH
MP_Singrauli,1,0,MP
TR_Sipahijala,1,0,TR
HP_Sirmaur,1,0,HP
RJ_Sirohi,1,0,RJ
HR_Sirsa,1,0,HR
BR_Sitamarhi,1,0,BR
UP_Sitapur,1,0,UP
TN_Sivaganga,1,0,TN
AS_Sivasagar,1,0,AS
BR_Siwan,1,0,BR
HP_Solan,1,0,HP
MH_Solapur,1,0,MH
UP_Sonbhadra,1,0,UP
HR_Sonipat,1,0,HR
AS_Sonitpur,1,0,AS
WB_South 24 Parganas,1,0,WB
DL_South Delhi,1,0,DL
DL_South East Delhi,1,0,DL
ML_South Garo Hills,1,0,ML
GA_South Goa,1,0,GA
AS_South Salmara Mankachar,1,0,AS
SK_South Sikkim,1,0,SK
TR_South Tripura,1,0,TR
DL_South West Delhi,1,0,DL
ML_South West Garo Hills,1,0,ML
ML_South West Khasi Hills,1,0,ML
PB_Sri Muktsar Sahib,1,0,PB
AP_Srikakulam,1,0,AP
JK_Srinagar,1,0,JK
OR_Subarnapur,1,0,OR
CT_Sukma,1,0,CT
UP_Sultanpur,1,0,UP
OR_Sundargarh,1,0,OR
BR_Supaul,1,0,BR
CT_Surajpur,1,0,CT
GJ_Surat,1,0,GJ
GJ_Surendranagar,1,0,GJ
CT_Surguja,1,0,CT
TG_Suryapet,1,0,TG
MN_Tamenglong,1,0,MN
GJ_Tapi,1,0,GJ
PB_Tarn Taran,1,0,PB
AR_Tawang,1,0,AR
UT_Tehri Garhwal,1,0,UT
MN_Tengnoupal,1,0,MN
MH_Thane,1,0,MH
TN_Thanjavur,1,0,TN
TN_Theni,1,0,TN
TN_Thiruvallur,1,0,TN
KL_Thiruvananthapuram,1,0,KL
TN_Thiruvarur,1,0,TN
TN_Thoothukkudi,1,0,TN
MN_Thoubal,1,0,MN
KL_Thrissur,1,0,KL
MP_Tikamgarh,1,0,MP
AS_Tinsukia,1,0,AS
AR_Tirap,1,0,AR
TN_Tiruchirappalli,1,0,TN
TN_Tirunelveli,1,0,TN
TN_Tiruppur,1,0,TN
TN_Tiruvannamalai,1,0,TN
RJ_Tonk,1,0,RJ
NL_Tuensang,1,0,NL
KA_Tumakuru,1,0,KA
RJ_Udaipur,1,0,RJ
AS_Udalguri,1,0,AS
UT_Udham Singh Nagar,1,0,UT
JK_Udhampur,1,0,JK
KA_Udupi,1,0,KA
MP_Ujjain,1,0,MP
MN_Ukhrul,1,0,MN
MP_Umaria,1,0,MP
HP_Una,1,0,HP
UP_Unnao,1,0,UP
TR_Unokoti,1,0,TR
AR_Upper Dibang Valley,1,0,AR
AR_Upper Siang,1,0,AR
AR_Upper Subansiri,1,0,AR
CT_Uttar Bastar Kanker,1,0,CT
WB_Uttar Dinajpur,1,0,WB
KA_Uttara Kannada,1,0,KA
UT_Uttarkashi,1,0,UT
GJ_Vadodara,1,0,GJ
BR_Vaishali,1,0,BR
GJ_Valsad,1,0,GJ
UP_Varanasi,1,0,UP
TN_Vellore,1,0,TN
MP_Vidisha,1,0,MP
TG_Vikarabad,1,0,TG
TN_Viluppuram,1,0,TN
TN_Virudhunagar,1,0,TN
AP_Visakhapatnam,1,0,AP
AP_Vizianagaram,1,0,AP
TG_Wanaparthy,1,0,TG
TG_Warangal Rural,1,0,TG
TG_Warangal Urban,1,0,TG
MH_Wardha,1,0,MH
MH_Washim,1,0,MH
KL_Wayanad,1,0,KL
DL_West Delhi,1,0,DL
ML_West Garo Hills,1,0,ML
AP_West Godavari,1,0,AP
ML_West Jaintia Hills,1,0,ML
AR_West Kameng,1,0,AR
AS_West Karbi Anglong,1,0,AS
ML_West Khasi Hills,1,0,ML
AR_West Siang,1,0,AR
SK_West Sikkim,1,0,SK
JH_West Singhbhum,1,0,JH
TR_West Tripura,1,0,TR
NL_Wokha,1,0,NL
AP_Y.S.R. Kadapa,1,0,AP
TG_Yadadri Bhuvanagiri,1,0,TG
KA_Yadgir,1,0,KA
HR_Yamunanagar,1,0,HR
MH_Yavatmal,1,0,MH
NL_Zunheboto,1,0,NL
TG_Adilabad,2,0,TG
MP_Agar Malwa,2,0,MP
UP_Agra,2,0,UP
GJ_Ahmedabad,2,0,GJ
MH_Ahmednagar,2,0,MH
MZ_Aizawl,2,0,MZ
RJ_Ajmer,2,0,RJ
MH_Akola,2,0,MH
KL_Alappuzha,2,0,KL
UP_Aligarh,2,0,UP
WB_Alipurduar,2,0,WB
MP_Alirajpur,2,0,MP
UT_Almora,2,0,UT
RJ_Alwar,2,0,RJ
HR_Ambala,2,0,HR
UP_Ambedkar Nagar,2,0,UP
UP_Amethi,2,0,UP
MH_Amravati,2,0,MH
GJ_Amreli,2,0,GJ
PB_Amritsar,2,0,PB
UP_Amroha,2,0,UP
GJ_Anand,2,0,GJ
AP_Anantapur,2,0,AP
JK_Anantnag,2,0,JK
OR_Angul,2,0,OR
AR_Anjaw,2,0,AR
MP_Anuppur,2,0,MP
BR_Araria,2,0,BR
GJ_Aravalli,2,0,GJ
TN_Ariyalur,2,0,TN
BR_Arwal,2,0,BR
MP_Ashoknagar,2,0,MP
UP_Auraiya,2,0,UP
UP_Ayodhya,2,0,UP
UP_Azamgarh,2,0,UP
KA_Bagalkote,2,0,KA
UT_Bageshwar,2,0,UT
UP_Baghpat,2,0,UP
UP_Bahraich,2,0,UP
AS_Baksa,2,0,AS
MP_Balaghat,2,0,MP
OR_Balangir,2,0,OR
OR_Balasore,2,0,OR
KA_Ballari,2,0,KA
UP_Ballia,2,0,UP
CT_Balod,2,0,CT
CT_Baloda Bazar,2,0,CT
CT_Bametara,2,0,CT
GJ_Banaskantha,2,0,GJ
UP_Banda,2,0,UP
JK_Bandipora,2,0,JK
BR_Banka,2,0,BR
WB_Bankura,2,0,WB
RJ_Banswara,2,0,RJ
UP_Barabanki,2,0,UP
JK_Baramulla,2,0,JK
RJ_Baran,2,0,RJ
UP_Bareilly,2,0,UP
OR_Bargarh,2,0,OR
RJ_Barmer,2,0,RJ
PB_Barnala,2,0,PB
AS_Barpeta,2,0,AS
MP_Barwani,2,0,MP
CT_Bastar,2,0,CT
UP_Basti,2,0,UP
PB_Bathinda,2,0,PB
MH_Beed,2,0,MH
BR_Begusarai,2,0,BR
KA_Belagavi,2,0,KA
KA_Bengaluru Rural,2,0,KA
KA_Bengaluru Urban,2,0,KA
MP_Betul,2,0,MP
UP_Bhadohi,2,0,UP
TG_Bhadradri Kothagudem,2,0,TG
OR_Bhadrak,2,0,OR
BR_Bhagalpur,2,0,BR
MH_Bhandara,2,0,MH
RJ_Bharatpur,2,0,RJ
GJ_Bharuch,2,0,GJ
GJ_Bhavnagar,2,0,GJ
RJ_Bhilwara,2,0,RJ
MP_Bhind,2,0,MP
HR_Bhiwani,2,0,HR
BR_Bhojpur,2,0,BR
MP_Bhopal,2,0,MP
CT_Bijapur,2,0,CT
UP_Bijnor,2,0,UP
RJ_Bikaner,2,0,RJ
WB_Birbhum,2,0,WB
MN_Bishnupur,2,0,MN
AS_Biswanath,2,0,AS
JH_Bokaro,2,0,JH
AS_Bongaigaon,2,0,AS
GJ_Botad,2,0,GJ
OR_Boudh,2,0,OR
UP_Budaun,2,0,UP
JK_Budgam,2,0,JK
UP_Bulandshahr,2,0,UP
MH_Buldhana,2,0,MH
RJ_Bundi,2,0,RJ
MP_Burhanpur,2,0,MP
BR_Buxar,2,0,BR
AS_Cachar,2,0,AS
DL_Central Delhi,2,0,DL
KA_Chamarajanagara,2,0,KA
HP_Chamba,2,0,HP
UT_Chamoli,2,0,UT
UT_Champawat,2,0,UT
MZ_Champhai,2,0,MZ
UP_Chandauli,2,0,UP
MN_Chandel,2,0,MN
CH_Chandigarh,2,0,CH
MH_Chandrapur,2,0,MH
AR_Changlang,2,0,AR
AS_Charaideo,2,0,AS
HR_Charkhi Dadri,2,0,HR
JH_Chatra,2,0,JH
TN_Chennai,2,0,TN
MP_Chhatarpur,2,0,MP
MP_Chhindwara,2,0,MP
GJ_Chhota Udaipur,2,0,GJ
KA_Chikkaballapura,2,0,KA
KA_Chikkamagaluru,2,0,KA
AS_Chirang,2,0,AS
KA_Chitradurga,2,0,KA
UP_Chitrakoot,2,0,UP
AP_Chittoor,2,0,AP
RJ_Chittorgarh,2,0,RJ
MN_Churachandpur,2,0,MN
RJ_Churu,2,0,RJ
TN_Coimbatore,2,0,TN
WB_Cooch Behar,2,0,WB
TN_Cuddalore,2,0,TN
OR_Cuttack,2,0,OR
DN_Dadra and Nagar Haveli,2,0,DN
GJ_Dahod,2,0,GJ
WB_Dakshin Dinajpur,2,0,WB
